Filename;Title;Author
QUEEN_TOURNAMENT_IVANHOE_TOPHAM_eventPicture;The Queen of the Tournament, "Ivanhoe";Frank William Warwick Topham
JOUSTING_PAULUS_MAIR_eventPicture;High jousting;Paulus Hector Mair
BATTLE_POITIERS_DELACROIX_eventPicture;Battle of Poitiers;Eugene Delacroix
ORKNEY_SHETLAND_ATLAS_BLAEU_eventPicture;Orkney and Shetland;Joan Blaeu
IRISH_HOUSE_COMMONS_WHEATLEY_eventPicture;The Irish House of Commons, 1780;Francis Wheatley
CORONATION_WILLIAM_III_ROCHUSSEN_eventPicture;Coronation of William III and Mary Stuart;Charles Rochussen
MARTYRDOM_ABBOT_READING_MORLEY_eventPicture;Martyrdom of Hugh Faringdon;Harry Morley
KING_MONK_SIMMONDS_eventPicture;The King and the Monk;William George Simmonds
DISSOLUTION_MONASTERIES_PETTS_eventPicture;Dissolution of the Monasteries;Ken Petts
KNIGHTS_ROUND_TABLE_DEPART_DYCE_eventPicture;Knights of the Round Table about to Depart in Quest;William Dyce
ELIZABETH_GLOBE_THEATRE_SCOTT_eventPicture;Queen Elizabeth at the Globe Theatre;David Scott
SOMERSET_CONFERENCE_CRUZ_eventPicture;The Somerset House Conference, 19 August 1604;Juan Pantoja de la Cruz
ENGLAND_SPAIN_COAT_eventPicture;Coat of Arms of Mary I of England and Philip II of Spain
FIFTH_MONARCHY_ASPINWALL_eventPicture;A Brief description of the Fifth Monarchy or Kingdome;William Aspinwall
COURSE_EMPIRE_CONSUMMATION_COLE_eventPicture;The Course of Empire: The Consummation of Empire;Thomas Cole
event_pictures_FLAVOR_UNIVERSALIS/tournament_book_eventPicture;Dukes of Brittany and Bourbon on horseback;Barthelemy d'Eyck
ENGLAND_ITALY_COAT_eventPicture;Coat of Arms of England and Italy
PHILIP_II_BLOODY_MARY_HEER_eventPicture;Felipe II of Spain and Mary of England and Spain;Lucas de Heer
REICHSKRONE_KLEIST_eventPicture;The Reichskrone;Henning Kleist
ENTRY_OF_CHARLES_VIII_NAPLES_eventPicture;Entry of Charles VIII at Naples, 12th of May 1495;Eloi Firmin Feron
LULLY_OPERA_AUBIN_eventPicture;Lully's Armide at the Palais-Royal Opera House in 1761;Gabriel de Saint-Aubin
ARRIVAL_LOUIS_ENGLAND_eventPicture;The Arrival of Louis of France in England;Matthew Paris
BORIS_GODUNOV_UNKNOWN_eventPicture;Boris Godunow Tsar of Russia;Unknown
PETER_THE_GREAT_AT_VERSAILLES_eventPicture;Peter the Great at Versailles;Unknown
PETER_AND_HOLLAND_eventPicture;The Conversation of Peter I in Holland;Unknown
SALT_RIOT_ON_RED_SQUARE_LISSNER_eventPicture;Salt Riot on Red Square;Ernest Lissner
CAPTURE_OF_CAUCASIAN_CHIEF_BRANDT_eventPicture;The capture of a Caucasian chief;Jozef Brandt
SHUNZHI_EMPEROR_eventPicture;Shunzhi Emperor;Unknown
DECEMBERIST_REVOLT_OPPOSITE_eventPicture;Life Guards Horse Regiment During the Uprising of December 14, 1825;Vasily Timm
HAGIA_SOPHIA_GASPARD_eventPicture;Hagia Sophia;Unknown
SIEGE_OF_NOTEBORG_KOTZEBUE_eventPicture;The siege of Swedish fortress of Noteborg by Russian troops;Alexander Kotzebue
PETER_THE_GREAT_FOUNDING_OF_ST_PETERSBURG_VENETSIANOV_eventPicture;Founding of St. Petersburg;Alexey Gavrilovich Venetsianov
DEBATE_ABOUT_FAITH_PEROV_eventPicture;Nikita Pustosvyat. Debate about faith;Vassili Perov
APOTHEOSIS_CATHERINE_II_GUGLIELMI_eventPicture;Apotheosis of the Reign of Catherine II;Gregorio Guglielmi
YERMAKS_CONQUEST_OF_SIBERIA_SURIKOV_eventPicture;Yermak's conquest of Siberia;Vasily Surikov
LIVONIAN_WAR_HUSSAR_SACKING_eventPicture;Polish hussars sacking Moscow
IVAN_IV_VASNETSOV_eventPicture;Portrait of Ivan IV;Viktor Vasnetsov
RED_SQUARE_SECOND_HALF_17TH_CENTURY_VASNETSOV_eventPicture;Red Square in the second half of the XVII Century;Apollinary Vasnetsov
FREDERICK_II_LISTENING_TO_BACH_eventPicture;Frederick II listening to Bach;Unknown
